indicator_id,indicator_name,indicator_description,cancer_site,cancer_definition,sex,geography,year,value,unit,rate_type,standard_population,source_url,citation_url,source_release_date,retrieval_date,snapshot_id,license_note
fcr.lung_trachea.mortality.crude.female,Female lung and tracheal cancer mortality rate — crude,Observed cancer deaths divided by female person-years without age standardisation,"Lung, trachea",Malignant neoplasms of trachea and bronchus/lung (ICD-10 C33-C34),female,Finland,2024,29.96,per_100_000_person_years,crude,,https://cancerregistry.fi/statistics/cancer-statistics/,https://cancerregistry.fi/statistics/cancer-statistics/?_inputs_&in.subset.sites=%2221L%22&value_type=%22mort.rate%22&submit=1&tabset_panel=%222%22&value_theme=%22theme_mort%22&in.subset.sex=%221L%22&tabu=%22mort_latest1%22&in.subset.area=%22-1L%22&language=%22en%22&table_view=%22v2%22,2026-04-24,2026-07-30,fcr-2024-mortality-export-20260730,Source data remains subject to Finnish Cancer Registry terms; the Apache-2.0 licence covers SourceVahti code only.
fcr.lung_trachea.mortality.asr_world_1966.female,Female lung and tracheal cancer mortality rate — world-standardised,Age-standardised cancer mortality using the world standard population used by the registry,"Lung, trachea",Malignant neoplasms of trachea and bronchus/lung (ICD-10 C33-C34),female,Finland,2024,9.04,per_100_000_person_years,age_standardised_world_1966,World standard population (1966),https://cancerregistry.fi/statistics/cancer-statistics/,https://cancerregistry.fi/statistics/cancer-statistics/?_inputs_&in.subset.sites=%2221L%22&value_type=%22mort.rate_world_1966%22&submit=1&tabset_panel=%222%22&value_theme=%22theme_mort%22&in.subset.sex=%221L%22&tabu=%22mort_latest1%22&in.subset.area=%22-1L%22&language=%22en%22&table_view=%22v2%22,2026-04-24,2026-07-30,fcr-2024-mortality-export-20260730,Source data remains subject to Finnish Cancer Registry terms; the Apache-2.0 licence covers SourceVahti code only.
fcr.lung_trachea.mortality.asr_finland_2014.female,Female lung and tracheal cancer mortality rate — Finland-2014-standardised,Age-standardised cancer mortality using Finland's 2014 population structure,"Lung, trachea",Malignant neoplasms of trachea and bronchus/lung (ICD-10 C33-C34),female,Finland,2024,23.28,per_100_000_person_years,age_standardised_finland_2014,Finland population 2014,https://cancerregistry.fi/statistics/cancer-statistics/,https://cancerregistry.fi/statistics/cancer-statistics/?_inputs_&in.subset.sites=%2221L%22&value_type=%22mort.rate_finland_2014%22&submit=1&tabset_panel=%222%22&value_theme=%22theme_mort%22&in.subset.sex=%221L%22&tabu=%22mort_latest1%22&in.subset.area=%22-1L%22&language=%22en%22&table_view=%22v2%22,2026-04-24,2026-07-30,fcr-2024-mortality-export-20260730,Source data remains subject to Finnish Cancer Registry terms; the Apache-2.0 licence covers SourceVahti code only.
